id,value
36081,12.1
36083,11.7
36085,11.8
36087,13.6
36089,19.3
36091,6.4
36093,12.8
36101,12.4
36103,6.8
36105,12.6
36109,20.5
36111,14.1
36113,7.4
36117,13.1
36119,8.3
37001,14.4
37019,11.5
37021,10.5
37023,17.9
37025,12.8
37027,16.8
37031,14
37035,12.1
37037,11.4
37045,18.9
37049,17.7
37051,18.6
37057,16
37063,16.1
37067,16.7
37069,17.5
37071,15
37081,14.2
37085,16.9
37089,9.3
37097,12
37101,16.7
37109,14.3
37119,11.1
37125,9.3
37127,14.8
37129,16.1
37133,12.9
37135,14.1
37147,22
37151,17.5
37155,28.7
37157,15.8
37159,15
37161,12.9
37171,15.5
37179,9.4
37183,8.9
37191,21.2
37193,19.8
37195,16.5
38015,7.6
38017,8.5
38035,17.5
38101,11.1
39003,14.9
39007,20.6
39009,29.4
39013,6.5
39017,10.5
39023,15.3
39025,8.6
39029,14.5
39035,18
39041,5.7
39043,12.9
39045,9.1
39049,15.9
39055,6.7
39057,9.7
39061,16.1
39063,10.3
39081,17
39085,8.8
39089,8.1
39093,13.9
39095,17.9
39099,18.4
39101,16.6
39103,5.7
39109,9.1
39113,16
39119,14
39133,12
39139,12.3
39141,15.8
39145,20.7
39151,14.5
39153,12.7
39155,15.5
39157,14
39165,4.2
39169,15.7
39173,11.6
40017,6.6
40027,11.9
40031,15.9
40037,16.8
40101,26.1
40109,16
40119,27.5
40125,14.6
40131,10.2
40143,14.6
40145,10
41003,17.5
41005,8.3
41017,9.4
41019,13.9
41029,14.1
41033,17.4
41035,19.5
41039,16.8
41043,14.6
41047,15.3
41051,14.6
41053,19.3
41059,16.4
41067,7.9
41071,10.5
42001,7.6
42003,11.2
42005,12.7
42007,11
42011,11.8
42013,14.6
42017,6.1
42019,8.1
42021,15.1
42025,13.8
42027,18.3
42029,6.4
42033,14.8
42037,13.3
42039,14.1
42041,6.7
42043,12.2
42045,9.7
42049,16
42051,17.6
42055,9.8
42063,12.8
42069,14.5
42071,10
42073,12.4
42075,11.4
42077,12.8
42079,13.8
42081,12.2
42085,11.2
42089,7.3
42091,5.7
42095,10.2
42097,14.4
42101,25.7
42107,11.6
42111,11.5
42125,8.9
42129,9.9
42133,9.5
44003,7.5
44005,7.5
44007,14.2
44009,8.8
45003,14.3
45007,14.4
45013,10.2
45015,11.6
45019,13.1
45031,20.9
45035,9.5
45041,18.4
45045,12.5
45047,18.8
45051,16.8
45055,14.7
45057,14.6
45059,24.3
45063,11.9
45073,17.7
45075,23.5
45077,15.3
45079,17
45083,13.6
45085,18.8
45091,11.8
46099,8.2
46103,12.4
47001,15.6
47009,12.6
47011,18.8
47037,14.5
47059,19
47065,12.2
47093,13.9
47113,17.7
47119,8.8
47125,13.5
47141,21.7
47147,13.4
47149,10.5
47155,11.8
47157,18.8
47163,15.6
47165,8.1
47179,15.1
47187,3.2
47189,9.1
48005,21.7
48021,7
48027,14
48029,15.7
48037,13.4
48039,8.4
48041,25.6
48061,27.9
48085,6
48091,10.2
48099,12.7
48113,14.9
48121,7.2
48135,11.5
48139,7.5
48141,21
48157,8.2
48167,11.8
48181,13.7
48183,16.5
48187,9.6
48201,16.1
48203,18.1
48209,13.8
48213,16.8
48215,30
48231,18.9
48245,18.4
48251,9.3
48257,8.8
48291,13.5
48303,19.7
48309,17.7
48329,10.7
48339,8.8
48347,26.5
48355,15.6
48361,12.3
48367,6.9
48375,17.5
48381,8.7
48397,6.4
48409,20.8
48423,16.6
48439,11.6
48441,15.4
48451,11.2
48453,11.7
48469,16.5
48471,24.4
48479,28
48485,17.1
48491,6.4
48497,11.9
49005,16.6
49011,4.8
49035,9.1
49045,5.6
49049,10.6
49053,12
49057,11.2
50007,13.1
51003,8.6
51013,5.2
51015,9.6
51019,8.5
51041,6.4
51059,6.8
51061,4.4
51069,5.5
51085,5.6
51087,9.8
51095,7.5
51107,2.8
51121,26
51153,6.1
51161,8.1
51165,7.7
51177,6.7
51179,3.1
51199,4.7
51510,11.7
51550,9.5
51650,15.9
51680,17.9
51700,17.6
51710,20
51740,18
51760,24.4
51770,19.4
51800,10.9
51810,8
53005,12.7
53007,16.9
53009,18.8
53011,10.3
53015,17.2
53021,12.8
53025,14.2
53027,18.3
53029,10.6
53033,9.3
53035,7.8
53041,14.9
53053,10
53057,11
53061,7.1
53063,14.1
53067,10.7
53073,13.1
53077,18.1
54003,12.2
54011,28.7
54033,18.4
54039,18.6
54061,18.6
54081,19.1
54107,19.7
55009,9.7
55025,11.8
55027,8.1
55035,15.9
55039,8.1
55055,8.8
55059,11.4
55063,12.3
55071,8.8
55073,10.4
55079,18.9
55087,7.1
55089,5.5
55097,13.1
55101,10.3
55105,12.5
55109,3.5
55117,7.2
55127,10.6
55131,4.9
55133,4.8
55139,12.1
55141,10.8
56021,9.9
56025,10.9
72013,48.4
72021,33.8
72025,41
72031,26.1
72061,27.7
72097,49.7
72113,53.2
72127,39.7
72135,30.4
72137,33.7
72139,27.7
